timestamp_gatillo,event_type
2024-01-10 22:00:00,short
2024-01-10 23:00:00,short
2024-01-11 00:00:00,short
2024-01-11 03:00:00,short
2024-01-11 04:00:00,short
2024-01-11 09:00:00,short
2024-02-13 06:00:00,short
2024-02-14 23:00:00,short
2024-02-25 21:00:00,short
2024-02-25 23:00:00,short
2024-02-26 23:00:00,short
2024-02-27 02:00:00,short
2024-02-27 07:00:00,short
2024-02-28 09:00:00,short
2024-02-28 10:00:00,short
2024-02-29 01:00:00,short
2024-03-12 17:00:00,short
2024-03-12 18:00:00,short
2024-03-12 19:00:00,short
2024-03-13 03:00:00,short
2024-03-13 04:00:00,short
2024-03-13 05:00:00,short
2024-03-25 23:00:00,short
2024-05-20 22:00:00,short
2024-05-21 05:00:00,short
2024-05-21 11:00:00,short
2024-05-21 21:00:00,short
2024-05-27 03:00:00,short
2024-07-15 03:00:00,short
2024-07-15 05:00:00,short
2024-07-15 09:00:00,short
2024-07-15 10:00:00,short
2024-07-15 15:00:00,short
2024-07-15 17:00:00,short
2024-07-15 20:00:00,short
2024-07-15 21:00:00,short
2024-07-15 22:00:00,short
2024-09-20 05:00:00,short
2024-09-20 11:00:00,short
2024-10-17 19:00:00,short
2024-10-17 20:00:00,short
2024-10-17 22:00:00,short
2024-10-18 00:00:00,short
2024-10-18 01:00:00,short
2024-10-18 03:00:00,short
2024-10-29 14:00:00,short
2024-11-06 09:00:00,short
2024-11-06 11:00:00,short
2024-11-06 12:00:00,short
2024-11-06 13:00:00,short
2024-11-07 11:00:00,short
2024-11-07 20:00:00,short
2024-11-10 08:00:00,short
2024-11-10 10:00:00,short
2024-12-06 16:00:00,short
2024-12-06 17:00:00,short
2025-01-03 16:00:00,short
2025-01-03 17:00:00,short
2025-01-03 18:00:00,short
2025-01-03 19:00:00,short
2025-01-31 13:00:00,short
2025-03-02 19:00:00,short
2025-04-23 02:00:00,short
2025-04-23 06:00:00,short
2025-04-23 07:00:00,short
2025-04-23 08:00:00,short
2025-05-08 21:00:00,short
2025-05-08 22:00:00,short
2025-05-08 23:00:00,short
2025-05-09 00:00:00,short
2025-05-09 01:00:00,short
2025-05-09 02:00:00,short
2025-05-09 05:00:00,short
2025-05-09 06:00:00,short
2025-05-09 07:00:00,short
2025-05-09 13:00:00,short
2025-05-10 20:00:00,short
2025-05-10 21:00:00,short
2025-06-10 05:00:00,short
2025-06-10 10:00:00,short
2025-06-10 11:00:00,short
2025-06-10 14:00:00,short
2025-06-10 20:00:00,short
2025-06-10 21:00:00,short
2025-06-10 22:00:00,short
2025-06-11 01:00:00,short
2025-06-11 02:00:00,short
2025-07-03 02:00:00,short
2025-07-03 06:00:00,short
2025-07-09 19:00:00,short
2025-07-09 21:00:00,short
2025-07-09 22:00:00,short
2025-07-10 00:00:00,short
2025-07-10 03:00:00,short
2025-07-10 04:00:00,short
2025-07-10 06:00:00,short
2025-07-11 00:00:00,short
2025-07-11 03:00:00,short
2025-07-11 04:00:00,short
2025-07-11 05:00:00,short
2025-07-11 08:00:00,short
2025-07-11 09:00:00,short
2025-07-16 18:00:00,short
2025-07-16 19:00:00,short
2025-07-16 20:00:00,short
2025-07-17 07:00:00,short
2025-07-18 02:00:00,short
2025-07-18 03:00:00,short
2025-07-18 04:00:00,short
2025-07-18 05:00:00,short
2025-08-07 20:00:00,short
2025-08-07 21:00:00,short
2025-08-07 22:00:00,short
2025-08-07 23:00:00,short
2025-08-08 00:00:00,short
2025-08-08 02:00:00,short
2025-08-08 03:00:00,short
2025-08-09 06:00:00,short
2025-08-09 07:00:00,short
2025-08-09 18:00:00,short
2025-08-09 21:00:00,short
2025-08-12 18:00:00,short
2025-08-12 22:00:00,short
2025-08-13 01:00:00,short
2025-08-13 02:00:00,short
2025-08-13 05:00:00,short
2025-08-13 12:00:00,short
2025-08-13 17:00:00,short
2025-08-13 18:00:00,short
2025-08-13 22:00:00,short
2025-08-22 17:00:00,short
2025-08-22 18:00:00,short
2025-08-22 19:00:00,short
2025-09-12 03:00:00,short
2025-09-12 20:00:00,short
2025-09-12 21:00:00,short
2025-09-13 00:00:00,short
2025-09-13 01:00:00,short
2025-09-13 02:00:00,short
2025-09-13 03:00:00,short
2025-09-29 15:00:00,short
2025-10-02 02:00:00,short
2025-11-09 23:00:00,short
2025-11-10 00:00:00,short
2025-01-06 17:00:00, short
2025-01-16 15:00:00, long
2025-01-17 22:00:00, short
2025-01-24 05:00:00, short
2025-01-31 17:00:00, short
2025-01-31 05:00:00, long
2025-02-09 05:00:00, short
2025-02-11 01:00:00, short
2025-02-11 23:00:00, long
2025-02-18 18:00:00, long
2025-02-21 14:00:00, short
2025-02-24 00:00:00, short
2025-02-25 23:00:00, short
2025-02-28 07:00:00, long
2025-03-04 03:00:00, long
2025-03-06 06:00:00, short
2025-03-17 20:00:00, short
2025-03-20 01:00:00, short
2025-03-31 00:00:00, long
2025-04-02 08:00:00, long
2025-04-02 22:00:00, short
2025-04-08 04:00:00, short
2025-04-09 03:00:00, long
2025-04-23 15:00:00, short
2025-04-27 03:00:00, short
2025-04-29 12:00:00, short
2025-05-01 17:00:00, short
2025-05-06 15:00:00, long   
2025-05-13 04:00:00, long
2025-05-18 22:00:00, long
2025-05-20 04:00:00, short
2025-05-31 03:00:00, long
2025-06-04 17:00:00, short
2025-06-11 17:00:00, short
2025-06-13 18:00:00, short
2025-06-16 22:00:00, short
2025-06-20 10:00:00, short
2025-06-22 22:00:00, long
2025-06-25 16:00:00, long
2025-06-26 05:00:00, short
2025-06-27 03:00:00, long
2025-07-02 03:00:00, long
2025-07-03 15:00:00, short
2025-07-04 18:00:00, long
2025-07-07 18:00:00, long
2025-07-12 17:00:00, long
2025-07-15 05:00:00, long
2025-07-18 22:00:00, long
2025-07-21 16:00:00, short
2025-07-24 09:00:00, long
2025-07-28 07:00:00, short
2025-08-03 02:00:00, long
2025-08-05 00:00:00, short
2025-08-06 02:00:00, long
2025-08-14 08:00:00, short
2025-08-17 12:00:00, short
2025-08-20 03:00:00, long
2025-08-24 20:00:00, short
2025-08-26 03:00:00, long
2025-08-27 16:00:00, short
2025-09-01 23:00:00, long
2025-09-13 05:00:00, short
2025-09-18 05:00:00, short
2025-09-25 19:00:00, long
2025-09-28 14:00:00, long
2025-09-30 02:00:00, short
2025-09-30 18:00:00, long
2025-10-07 15:00:00, short
2025-10-13 23:00:00, short
2025-10-17 12:00:00, long
2025-10-20 08:00:00, short
2025-10-22 23:00:00, long
2025-10-27 06:00:00, short
2025-11-02 08:00:00, short
2025-11-05 20:00:00, short
2025-11-07 13:00:00, long
2025-11-08 17:00:00, long
2025-11-10 02:00:00, short
2025-02-03 23:00:00, short
2025-02-25 08:00:00, long
2025-02-26 21:00:00, long
2025-03-06 11:00:00, short
2025-03-10 00:00:00, long
2025-03-23 11:00:00, short
2025-03-25 05:00:00, long
