timestamp_gatillo,event_type,ATR_14,RSI_14,Slope_50,Rejection_Power,BB_Position,Target_1x,Target_2x,Target_3x,Target_5x,Target_10x,Target_15x,Target_20x
2022-05-09 04:00:00,long,22.82443836146493,34.11340287644718,-5.16023463998374,0.4936608139922226,0.20712903740998806,1,1,1,1,1,1,1
2022-05-09 17:00:00,long,37.18837655300501,27.049218107017474,-6.357573427236169,0.6089066914555856,0.10785498894727921,1,1,1,1,1,1,1
2022-05-09 18:00:00,long,36.79742465061179,29.231615318348304,-6.370371404355528,0.30015176451618925,0.17687909723050935,1,1,1,1,1,1,1
2022-05-09 19:00:00,long,38.43388908678239,24.28944544329421,-6.551962532122285,0.14487622120099442,0.05025396086323033,1,1,1,1,1,1,1
2022-06-01 23:00:00,long,18.863182930684808,32.60357238992151,-3.5939673355004027,0.1285046269886482,0.2699023459739831,1,1,1,1,1,1,1
2022-06-02 00:00:00,long,18.074147772814463,33.005362280448416,-3.6625044878122917,0.5898052041416931,0.2959898401167374,1,1,1,1,1,1,1
2022-07-01 10:00:00,long,47.896967277525675,3.199446689838707,-10.467275298776025,0.24740811529365705,0.11875939764356751,1,1,1,1,1,1,1
2022-07-01 18:00:00,long,30.84945888768902,7.951231067828369,-19.78520242755569,0.2750514293858257,0.3390115634179842,1,1,1,1,1,1,1
2022-07-01 19:00:00,long,29.48214618012551,7.813488120903848,-20.61578180382232,0.470840446467343,0.3543425881666714,1,1,1,1,1,1,1
2022-07-01 20:00:00,long,27.989295704173685,7.716906643189936,-21.377028090583636,0.48799922287201425,0.37077369681841726,1,1,1,1,1,1,1
2022-07-01 21:00:00,long,26.639566428232705,8.68566628866454,-22.05147028661152,0.1973402583160717,0.39311257019971124,1,1,1,1,1,1,1
2022-07-02 00:00:00,long,23.302326147524095,10.321890778569498,-23.713920166891366,0.0021304474442546293,0.17834790649423585,1,1,1,1,1,1,1
2022-08-19 22:00:00,long,19.00845723754313,27.558732156427574,-5.326193816509349,0.009298646393511195,0.17430673955247294,1,1,1,1,1,1,1
2022-08-20 18:00:00,long,17.492831093602756,32.17750133432592,-5.433974527611784,0.0,0.14433742111232406,1,1,1,1,1,1,1
2022-08-20 19:00:00,long,17.231807112545415,33.448101286114586,-5.244929548312182,0.2929540974278856,0.19987947148944551,1,1,1,1,1,1,1
2022-08-27 00:00:00,long,16.73063097936694,20.42799313376164,-4.161889903388431,0.10939589688180779,0.168663498475529,1,1,1,1,1,1,1
2022-08-27 02:00:00,long,16.55404434738323,25.03048239583652,-4.729290318834233,0.01296557891174429,0.2399172144897031,1,1,1,1,1,1,1
2022-11-20 05:00:00,long,23.207095015313005,1.3978588887201704,-5.0780911163410325,0.06003479238924649,0.11181144711228512,1,1,1,1,1,1,1
2022-11-20 06:00:00,long,22.53335985967637,1.3306961719047325,-5.8321777204199075,0.019589478654741893,0.13909944622550408,1,1,1,1,1,1,1
2022-11-20 07:00:00,long,22.99958117182805,1.2016760438342473,-6.612265747932662,0.028775282208679885,0.14644394405388989,1,1,1,1,1,1,1
2022-11-20 08:00:00,long,21.913794085790332,1.1973847532852457,-7.351729794876374,0.21438174459594175,0.1817964233719554,1,1,1,1,1,1,1
2022-11-20 09:00:00,long,20.851022534826733,3.445834255144811,-8.0344473247545,0.01914987964494351,0.21924911524125482,1,1,1,1,1,1,1
2022-11-20 10:00:00,long,19.699334674053404,3.428055128860573,-8.677649071762822,0.5903936130134622,0.24468538538250859,1,1,1,1,1,1,1
2022-11-20 11:00:00,long,18.607607448621025,4.947032939448955,-9.269931470845329,0.009280308095202892,0.2728344872148359,1,1,1,1,1,1,1
2022-11-20 16:00:00,long,14.561478473178502,9.061084051390354,-11.603015516333869,0.24909970231408976,0.3726224672655972,1,1,1,1,1,1,1
2022-11-20 17:00:00,long,15.910076639130049,7.5012995172450925,-12.021389405202699,0.0034343131793216353,0.3317442326272821,1,1,1,1,1,1,1
2022-11-20 18:00:00,long,15.500561900599338,7.7713140286943565,-12.393073602139435,0.24260373234148072,0.33584444964768684,1,1,1,1,1,1,1
2022-11-20 19:00:00,long,14.851118677406534,7.716235980573765,-12.7221648589973,0.23703600259877686,0.09050219238805282,1,1,1,1,1,1,1
2023-03-11 08:00:00,long,15.712520240656929,25.483476830197866,-5.153461697814542,0.0,0.3727050221242536,1,1,1,1,1,1,1
2023-03-11 10:00:00,long,14.607963354740937,29.934457750816406,-5.395766070114254,0.03166479933128252,0.45671144196380864,1,1,1,1,1,1,1
2023-08-18 14:00:00,long,13.321884653353242,8.879834100897789,-3.3361581302858174,0.21580819285108127,0.2385362851586832,1,1,1,1,1,1,1
2023-08-18 15:00:00,long,13.276037889513725,7.98732838495078,-3.6136617687977353,0.08134637616346975,0.2332472703342343,1,1,1,1,1,1,1
2023-08-18 16:00:00,long,13.117803793884176,10.368964454658382,-3.8663659631328136,0.04601801894178307,0.2659684059071635,1,1,1,1,1,1,1
2023-08-18 19:00:00,long,11.925924262691879,13.749610450130307,-4.494380222667902,0.5059999197860751,0.334957917233844,1,1,1,1,1,1,1
2023-08-18 22:00:00,long,10.79066918327344,18.63258551905932,-4.956819740054576,0.2750861441723635,0.38382752184391294,1,1,1,1,1,1,1
2023-08-18 23:00:00,long,10.229262178111048,18.466819172752825,-5.0862977030598735,0.18996756011829952,0.39603782463825354,1,1,1,1,1,1,1
2023-12-11 16:00:00,long,20.65111401793853,28.44509734214018,-3.5942346868970554,0.10511424001643432,0.20174549256601376,1,1,1,1,1,1,1
